State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.04586	1.04449	1.04632	1.04609	1.05387	1.05822	1.05982	1.06326	1.06257	1.06165	1.06257	1.05776	1.05570	1.04952	1.04655	1.04769	1.04769	1.04655	1.04197	1.04083	1.03671
2	0.60334	0.60147	0.60405	0.60289	0.60279	0.60370	0.60501	0.60855	0.61336	0.62256	0.63743	0.64719	0.66120	0.67501	0.68953	0.70167	0.71385	0.72554	0.73864	0.74835	0.75619
3	1.09196	1.06813	1.07030	1.07247	1.08113	1.09196	1.08113	1.05080	1.04213	0.99880	0.95980	0.97713	1.00747	1.03130	1.03130	1.00747	1.02047	1.02480	1.03347	1.02913	1.04647
4	4.17102	4.21805	4.22133	4.25360	4.25305	4.23501	4.23391	4.21040	4.17540	4.12891	4.03212	3.95227	3.83032	3.70563	3.56782	3.43274	3.29766	3.16204	3.02532	2.92907	2.83719
5	2.38853	2.34592	2.33590	2.27324	2.24567	2.27575	2.24567	2.21058	2.13790	2.06020	1.96747	1.88476	1.81458	1.70180	1.67172	1.67924	1.65919	1.64415	1.66922	1.61909	1.57147
6	0.41391	0.38704	0.36822	0.37897	0.36419	0.33866	0.32253	0.29969	0.29431	0.29700	0.33328	0.35478	0.37629	0.39779	0.43004	0.42332	0.41660	0.43945	0.45154	0.44617	0.46633
7	2.58333	2.60436	2.67589	2.70113	2.71796	2.79369	2.89046	2.95778	2.91150	2.80632	2.68430	2.54546	2.38137	2.29302	2.09527	2.04899	2.04058	2.07003	2.04899	2.17521	2.13314
8	4.86390	4.72119	4.50713	4.32280	4.25145	3.98982	3.57954	3.52008	3.50224	3.40711	3.09196	2.93142	2.83628	2.91953	2.96115	3.09196	3.37738	3.36548	3.20494	3.18710	3.22872
9	3.15946	3.12841	3.11289	3.07407	3.03526	3.02749	3.25262	2.92658	2.98092	3.12841	3.19828	3.42340	3.56313	3.29143	3.48550	3.30696	3.06631	3.01973	3.05855	3.03526	3.07407
10	1.35775	1.32423	1.40804	1.35775	1.32982	1.36893	1.48627	1.70418	1.63154	1.57008	1.45833	1.63154	1.59243	1.67065	1.68741	1.73211	1.74888	1.74329	1.70976	1.54773	1.46392
11	1.28887	1.34907	1.31076	1.36275	1.40927	1.40654	1.42022	1.39833	1.45032	1.47221	1.51600	1.43390	1.48589	1.51600	1.47495	1.55431	1.54610	1.59809	1.60903	1.66650	1.75407
12	2.92917	3.03970	2.78179	2.79100	2.68047	2.85548	2.75416	2.82785	2.91996	2.74494	2.59756	2.71731	2.51466	2.67125	2.60678	2.51466	2.49624	2.42255	2.57914	2.56993	2.64362
