State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.32733	1.31440	1.29521	1.26733	1.22734	1.17037	1.10614	1.05322	1.01787	1.00070	0.99262	0.99221	1.00575	1.02595	1.04413	1.06473	1.09160	1.10937	1.12593	1.14391	1.15280
2	0.73673	0.71419	0.68156	0.63950	0.59321	0.54241	0.50138	0.47468	0.45942	0.45312	0.44767	0.44634	0.44973	0.45401	0.46160	0.47013	0.48258	0.49540	0.51156	0.52674	0.53839
3	0.77832	0.82613	0.83761	0.84717	0.82804	0.86055	0.85673	0.87585	0.91793	0.92749	0.94087	0.95808	0.96956	0.92175	0.85864	0.82231	0.77832	0.72669	0.69036	0.63107	0.63490
4	0.60386	0.57200	0.54207	0.51456	0.49380	0.46339	0.44650	0.43877	0.43443	0.43877	0.46050	0.46967	0.48946	0.50104	0.50925	0.52180	0.52952	0.54593	0.57538	0.62268	0.68929
5	0.69242	0.62827	0.56411	0.53978	0.51323	0.51544	0.51987	0.54420	0.59730	0.62163	0.64596	0.68357	0.70348	0.70791	0.69906	0.67694	0.69021	0.72339	0.79418	0.89373	1.12823
6	0.87895	0.73661	0.65714	0.59427	0.53259	0.47091	0.42939	0.41279	0.38669	0.37483	0.34043	0.32383	0.33569	0.33331	0.35111	0.36416	0.41042	0.50768	0.69273	0.95724	1.30242
7	7.88033	7.56096	6.44315	4.99855	3.54652	2.51413	1.82339	1.45203	1.22550	1.16979	1.19950	1.24035	1.21436	1.42603	2.00908	4.02558	8.06972	13.64760	18.40105	21.59849	23.06166
8	7.55756	9.28426	11.81394	14.86845	18.47929	21.61778	23.54915	24.56733	24.12647	21.28189	24.24718	39.73493	47.89080	51.84803	52.56180	50.06360	43.51371	34.42365	26.21529	19.68640	14.74774
9	4.03573	4.89221	6.07072	8.32498	12.16885	18.43143	28.79140	41.59747	52.39596	55.63003	51.58745	39.61730	28.27066	20.34309	15.21792	10.71627	7.24239	5.20739	3.91240	3.03536	2.55573
10	1.93819	2.12066	2.21930	2.41657	2.35245	2.60891	2.70754	2.26368	1.58310	1.20828	1.14910	1.04060	0.86799	0.88279	0.97156	1.02581	1.19349	1.17869	1.22308	1.20828	1.26253
11	3.35731	3.77274	4.19301	4.53599	4.45870	3.86694	2.70517	1.62069	1.12554	1.05308	1.00719	0.98787	0.99028	1.05791	1.10864	1.23906	1.46369	1.72454	2.08443	2.21244	2.19553
12	7.04082	8.52053	12.02468	16.02478	20.40699	24.27701	24.87865	20.36634	15.60200	18.87037	20.30130	10.67505	10.13845	11.11409	12.42306	14.24424	14.96784	14.50441	11.58564	9.12217	7.26034
