State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	15.19227	0.74779	0.98523	1.04872	1.06268	0.99265	1.21207	1.14676
2	68.74183	0.45016	0.54659	0.78711	0.63750	0.44769	0.56111	1.11089
3	1.60473	2.40414	1.10179	0.71007	0.95990	0.94090	0.79511	0.89153
4	6.35758	0.70579	4.55300	2.20664	4.03144	0.46051	0.57111	0.31562
5	1.38721	0.65156	3.00321	2.28619	1.96767	0.64598	0.70559	0.21035
6	2.58714	0.26535	0.24286	2.24511	0.33332	0.34044	0.56285	0.19066
7	0.82636	0.70417	2.35263	2.22213	2.68038	1.19954	5.36328	0.23856
8	0.58472	31.39058	6.51465	2.03499	3.09229	24.24792	23.47857	0.22017
9	0.44788	44.74685	6.17168	1.09823	3.19861	51.58218	18.53703	0.33616
10	0.62225	0.32811	1.23754	1.02275	1.45848	1.14914	1.67443	0.68729
11	1.27055	0.59137	1.10881	0.98375	1.51615	1.00722	2.26411	0.72270
12	0.37745	20.73322	3.32041	1.07965	2.59784	20.30192	14.01682	0.44721
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
