State (Emission order)	H3K27ac	H3K9ac	H2AFZ	H3K4me3	H3K4me2	H3K4me1	H3K79me2	H3K36me3	H3K9me3	H3K27me3
1	4.849235121667086E-5	0.009544604617131686	0.002409133982533545	8.948126443324088E-6	8.833906718883357E-5	6.750644315287639E-4	6.5106003399225E-6	1.845095892007006E-5	0.0013138646281509424	0.1839469492871293
2	3.945656254443269E-4	0.0057492813284406455	0.0034194765000209407	2.873642552808345E-6	2.834104892496616E-5	1.203458070534157E-4	3.983879190370076E-4	0.0011739038088170784	0.0041215592463958815	0.003589608190660792
3	0.0075813124345433195	0.004725021834749531	0.011730427815776918	0.01554695689939174	2.616998276396636E-4	0.0015476255002769268	0.0034933546854287252	0.06708332566222378	0.500600637365412	0.0031842560126070264
4	0.009010340660302157	0.01874689075570198	9.756167839488454E-5	3.594769867764324E-5	1.4828618684562878E-4	0.0013106843884653908	0.01764456748304278	0.5965202262743741	0.005720685317649793	1.0337303352295228E-4
5	0.059647525075186454	0.040420507728657726	1.9145626428418382E-4	0.002103236893392161	0.016268127879015843	0.04440732320414187	0.8169807177618555	0.8558490895729096	0.04305199581329636	1.433584005148934E-5
6	0.013756776908411664	0.01994484036999124	1.8198538933302615E-4	1.836162462941322E-5	0.004969988196044331	0.02050042289366179	0.6642980040059006	0.05566439761913423	0.004547303069099883	1.964870865686954E-4
7	0.28430039933252627	0.23477791137230525	0.001836748842038149	0.21663380181249337	0.6303113466502865	0.860046026333792	0.9442607852916143	0.42495124851034805	0.005426669594849342	2.4234015311683203E-4
8	0.8234182278957755	0.9815411208052032	0.4663652061958349	0.9907457572138997	0.9932970991212977	0.6625839098363626	0.9750234061040157	0.12259223360373936	0.002364208948638275	0.001115374609758211
9	0.80403467577804	0.9470950974097507	0.795469739514578	0.9703712763559321	0.9851867178618566	0.7129154427550837	0.07614224500662828	0.0021959819107256287	0.003861342166678396	0.03333722547925669
10	0.9666568360970927	0.5802160110256886	0.25184377292349536	0.030186027974211743	0.4083341074913313	0.9928503559070839	0.0669199716328803	0.04087061068976884	0.013636125468544634	0.001122431923730424
11	0.204955370460959	0.05504782723515004	0.07897540648441315	3.146206592609235E-5	0.00933524627848359	0.5535446691487184	0.0075388070806171265	0.02151757058581184	0.007328046731361183	0.0028383526353274896
12	0.04758304882246063	0.13891327481183893	0.24440378309155827	0.2906247205965655	0.7645814896707114	0.7742012649242724	0.02462828945169914	0.004529588600952055	0.006006194554137083	0.16327811323185862
