12	10	E	-8069052.842542486	51
probinit	1	0.04227043100020747
probinit	2	0.9577295689997926
probinit	3	8.196891432738211E-86
probinit	4	1.7804692766214102E-141
probinit	5	3.57960924742904E-293
probinit	6	3.2192280696889207E-168
probinit	7	0.0
probinit	8	0.0
probinit	9	0.0
probinit	10	0.0
probinit	11	7.858465154246735E-102
probinit	12	1.7046362214857467E-139
transitionprobs	1	1	0.9836497428376629
transitionprobs	1	2	0.014288591163956041
transitionprobs	1	3	2.216400290277152E-4
transitionprobs	1	4	0.0
transitionprobs	1	5	0.0
transitionprobs	1	6	0.0
transitionprobs	1	7	0.0
transitionprobs	1	8	0.0
transitionprobs	1	9	0.0
transitionprobs	1	10	0.0
transitionprobs	1	11	0.0
transitionprobs	1	12	0.0018400259693534106
transitionprobs	2	1	0.0032717184576176142
transitionprobs	2	2	0.9880052961752572
transitionprobs	2	3	0.003162241463510802
transitionprobs	2	4	0.001470396829810482
transitionprobs	2	5	0.0
transitionprobs	2	6	3.037487153824876E-4
transitionprobs	2	7	2.157360878208919E-6
transitionprobs	2	8	2.974978638700397E-6
transitionprobs	2	9	2.3624082716701215E-5
transitionprobs	2	10	0.0
transitionprobs	2	11	0.00328894912514388
transitionprobs	2	12	4.6889281104413154E-4
transitionprobs	3	1	0.002103991878974074
transitionprobs	3	2	0.11482766543689028
transitionprobs	3	3	0.8778484023968979
transitionprobs	3	4	0.0021932670458697633
transitionprobs	3	5	4.7094330896402204E-4
transitionprobs	3	6	1.4689296455338633E-4
transitionprobs	3	7	0.0
transitionprobs	3	8	0.0
transitionprobs	3	9	9.878180127246074E-5
transitionprobs	3	10	5.670102860772213E-4
transitionprobs	3	11	0.001484453262802485
transitionprobs	3	12	2.5859161769825937E-4
transitionprobs	4	1	0.0
transitionprobs	4	2	0.01579715066019831
transitionprobs	4	3	6.620104925561929E-4
transitionprobs	4	4	0.9705055992018697
transitionprobs	4	5	0.010513226558410832
transitionprobs	4	6	6.048308899482916E-4
transitionprobs	4	7	3.599962753550516E-4
transitionprobs	4	8	1.0260837718292992E-5
transitionprobs	4	9	5.411535502252731E-7
transitionprobs	4	10	1.418593129867077E-4
transitionprobs	4	11	0.0013333137660168936
transitionprobs	4	12	7.121085138956228E-5
transitionprobs	5	1	0.0
transitionprobs	5	2	0.0
transitionprobs	5	3	8.050869238751654E-4
transitionprobs	5	4	0.048146132633208806
transitionprobs	5	5	0.8677102831438142
transitionprobs	5	6	0.07003213155245487
transitionprobs	5	7	0.012982252486368915
transitionprobs	5	8	2.3484548101994295E-6
transitionprobs	5	9	0.0
transitionprobs	5	10	0.0
transitionprobs	5	11	3.217648054679755E-4
transitionprobs	5	12	0.0
transitionprobs	6	1	0.0
transitionprobs	6	2	0.008022160030068623
transitionprobs	6	3	9.134661899780451E-5
transitionprobs	6	4	0.001504685507144151
transitionprobs	6	5	0.038305100878032024
transitionprobs	6	6	0.9298128744473899
transitionprobs	6	7	0.021202009895037538
transitionprobs	6	8	0.0
transitionprobs	6	9	1.7409663103394066E-8
transitionprobs	6	10	7.857416868802566E-6
transitionprobs	6	11	0.0010108275890124076
transitionprobs	6	12	4.312020778547669E-5
transitionprobs	7	1	0.0
transitionprobs	7	2	1.6536741100730345E-4
transitionprobs	7	3	5.908782419446884E-5
transitionprobs	7	4	0.0031509879310015836
transitionprobs	7	5	0.022947515762041095
transitionprobs	7	6	0.06676549465525938
transitionprobs	7	7	0.8464113913178137
transitionprobs	7	8	0.046798171523023145
transitionprobs	7	9	0.0
transitionprobs	7	10	0.004994077850391399
transitionprobs	7	11	0.005762516825787537
transitionprobs	7	12	0.002945388899480351
transitionprobs	8	1	0.0
transitionprobs	8	2	3.3231532394502734E-4
transitionprobs	8	3	4.541226086119618E-5
transitionprobs	8	4	9.96965270938426E-5
transitionprobs	8	5	0.0
transitionprobs	8	6	1.2899836794179112E-4
transitionprobs	8	7	0.06884417831363351
transitionprobs	8	8	0.855106215601654
transitionprobs	8	9	0.059150138544107465
transitionprobs	8	10	0.001535661981839473
transitionprobs	8	11	7.180305114885839E-4
transitionprobs	8	12	0.014039352567434956
transitionprobs	9	1	0.0
transitionprobs	9	2	0.0035480426117282297
transitionprobs	9	3	3.6820807298779124E-4
transitionprobs	9	4	4.012398748012738E-5
transitionprobs	9	5	0.0
transitionprobs	9	6	0.0
transitionprobs	9	7	0.0
transitionprobs	9	8	0.07815047696449032
transitionprobs	9	9	0.7375369707810101
transitionprobs	9	10	0.05650462960124242
transitionprobs	9	11	0.006947467296461551
transitionprobs	9	12	0.11690408068459948
transitionprobs	10	1	0.0
transitionprobs	10	2	0.0
transitionprobs	10	3	0.001437672367135357
transitionprobs	10	4	0.0013774796972640948
transitionprobs	10	5	0.0
transitionprobs	10	6	0.0
transitionprobs	10	7	0.006468540298006821
transitionprobs	10	8	0.0018002764115086342
transitionprobs	10	9	0.04095866302090551
transitionprobs	10	10	0.80290637613355
transitionprobs	10	11	0.14376146949286478
transitionprobs	10	12	0.0012895225787648166
transitionprobs	11	1	0.0
transitionprobs	11	2	0.15793759287209527
transitionprobs	11	3	0.002376568785933394
transitionprobs	11	4	0.006135959535038154
transitionprobs	11	5	3.489154982958846E-4
transitionprobs	11	6	0.002066914520187958
transitionprobs	11	7	0.0035006328466701533
transitionprobs	11	8	1.7551878074097653E-4
transitionprobs	11	9	0.0023186244939684005
