State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11	12
1	0.9836497428376629	0.014288591163956041	2.216400290277152E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018400259693534106
2	0.0032717184576176142	0.9880052961752572	0.003162241463510802	0.001470396829810482	0.0	3.037487153824876E-4	2.157360878208919E-6	2.974978638700397E-6	2.3624082716701215E-5	0.0	0.00328894912514388	4.6889281104413154E-4
3	0.002103991878974074	0.11482766543689028	0.8778484023968979	0.0021932670458697633	4.7094330896402204E-4	1.4689296455338633E-4	0.0	0.0	9.878180127246074E-5	5.670102860772213E-4	0.001484453262802485	2.5859161769825937E-4
4	0.0	0.01579715066019831	6.620104925561929E-4	0.9705055992018697	0.010513226558410832	6.048308899482916E-4	3.599962753550516E-4	1.0260837718292992E-5	5.411535502252731E-7	1.418593129867077E-4	0.0013333137660168936	7.121085138956228E-5
5	0.0	0.0	8.050869238751654E-4	0.048146132633208806	0.8677102831438142	0.07003213155245487	0.012982252486368915	2.3484548101994295E-6	0.0	0.0	3.217648054679755E-4	0.0
6	0.0	0.008022160030068623	9.134661899780451E-5	0.001504685507144151	0.038305100878032024	0.9298128744473899	0.021202009895037538	0.0	1.7409663103394066E-8	7.857416868802566E-6	0.0010108275890124076	4.312020778547669E-5
7	0.0	1.6536741100730345E-4	5.908782419446884E-5	0.0031509879310015836	0.022947515762041095	0.06676549465525938	0.8464113913178137	0.046798171523023145	0.0	0.004994077850391399	0.005762516825787537	0.002945388899480351
8	0.0	3.3231532394502734E-4	4.541226086119618E-5	9.96965270938426E-5	0.0	1.2899836794179112E-4	0.06884417831363351	0.855106215601654	0.059150138544107465	0.001535661981839473	7.180305114885839E-4	0.014039352567434956
9	0.0	0.0035480426117282297	3.6820807298779124E-4	4.012398748012738E-5	0.0	0.0	0.0	0.07815047696449032	0.7375369707810101	0.05650462960124242	0.006947467296461551	0.11690408068459948
10	0.0	0.0	0.001437672367135357	0.0013774796972640948	0.0	0.0	0.006468540298006821	0.0018002764115086342	0.04095866302090551	0.80290637613355	0.14376146949286478	0.0012895225787648166
11	0.0	0.15793759287209527	0.002376568785933394	0.006135959535038154	3.489154982958846E-4	0.002066914520187958	0.0035006328466701533	1.7551878074097653E-4	0.0023186244939684005	0.061924331897909544	0.7389699446562232	0.024244996112937053
12	0.07127448205792841	0.07979839126055376	0.0015866679439279765	0.0013637238575881592	0.0	4.1578002298971097E-4	0.005341837976249224	0.02197486997025515	0.13763245592275886	0.0012930021476584876	0.08641184568615869	0.5929069431539316
